# f=31.67754485207151,a=6760.000656878837,e=0.004426870208295852,i=26.264873442639626,Om=287.36198671622157,w=323.08397712963483,total_time=3,timestep=0.1
Bx,By,Bz,X,Y,Z
2.841568348939923538e+01,3.272288706984926243e+00,5.734279643836869944e+00,-1.369997076176602377e+03,-6.588557660723338813e+03,-2.612238167977440639e+02
2.841552798378169342e+01,3.271518708555267718e+00,5.738173343448278452e+00,-1.369370921812422694e+03,-6.588703124985197974e+03,-2.608841089221731409e+02
2.841537234843874771e+01,3.270748360757988582e+00,5.742067074814007910e+00,-1.368744752251833688e+03,-6.588848512645558912e+03,-2.605443976420026502e+02
2.841521658302894338e+01,3.269977663030422477e+00,5.745960838384806202e+00,-1.368118567021426543e+03,-6.588993823802727093e+03,-2.602046829616686523e+02
2.841506068751242253e+01,3.269206615234521163e+00,5.749854633904648793e+00,-1.367492366128253252e+03,-6.589139058455112718e+03,-2.598649648856072076e+02
2.841490466184931307e+01,3.268435217232366963e+00,5.753748461117415225e+00,-1.366866149579329658e+03,-6.589284216601125991e+03,-2.595252434182545471e+02
2.841474850599987789e+01,3.267663468886167877e+00,5.757642319766798522e+00,-1.366239917381705936e+03,-6.589429298239175296e+03,-2.591855185640466743e+02
2.841459221992441542e+01,3.266891370058245148e+00,5.761536209596378910e+00,-1.365613669542426123e+03,-6.589574303367673565e+03,-2.588457903274201044e+02
2.841443580358322762e+01,3.266118920611005283e+00,5.765430130349630922e+00,-1.364987406068493101e+03,-6.589719231985035549e+03,-2.585060587128107841e+02
2.841427925693685808e+01,3.265346120407088382e+00,5.769324081769783952e+00,-1.364361126966999336e+03,-6.589864084089668722e+03,-2.581663237246552285e+02
2.841412257994566204e+01,3.264572969309127437e+00,5.773218063600082495e+00,-1.363734832244936570e+03,-6.590008859679993293e+03,-2.578265853673896117e+02
2.841396577257030742e+01,3.263799467179974823e+00,5.777112075583489492e+00,-1.363108521909373849e+03,-6.590153558754418555e+03,-2.574868436454504490e+02
2.841380883477134489e+01,3.263025613882529541e+00,5.781006117462925253e+00,-1.362482195967330199e+03,-6.590298181311364715e+03,-2.571470985632740280e+02
2.841365176650954538e+01,3.262251409279892211e+00,5.784900188981149327e+00,-1.361855854425850794e+03,-6.590442727349245615e+03,-2.568073501252967503e+02
2.841349456774561588e+01,3.261476853235234064e+00,5.788794289880753396e+00,-1.361229497291982625e+03,-6.590587196866481463e+03,-2.564675983359551878e+02
2.841333723813823298e+01,3.260701945183556383e+00,5.792688420610780931e+00,-1.360603124092147254e+03,-6.590731589960704696e+03,-2.561278431996856852e+02
2.841317977825251262e+01,3.259926685844626082e+00,5.796582579500481280e+00,-1.359976735794578644e+03,-6.590875906431861949e+03,-2.557880847209249850e+02
2.841302218774734101e+01,3.259151074653974245e+00,5.800476766998573730e+00,-1.359350331925748833e+03,-6.591020146377625679e+03,-2.554483229041094319e+02
2.841286446658371290e+01,3.258375111475263708e+00,5.804370982847174787e+00,-1.358723912492665931e+03,-6.591164309796427005e+03,-2.551085577536758251e+02
2.841270661472273673e+01,3.257598796172307409e+00,5.808265226788193125e+00,-1.358097477502382844e+03,-6.591308396686687047e+03,-2.547687892740607651e+02
2.841254863212554937e+01,3.256822128609027533e+00,5.812159498563415738e+00,-1.357471026961946336e+03,-6.591452407046822373e+03,-2.544290174697007956e+02
2.841239051875336230e+01,3.256045108649454622e+00,5.816053797914518597e+00,-1.356844560878383163e+03,-6.591596340875264104e+03,-2.540892423450328010e+02
2.841223227456747225e+01,3.255267736157800407e+00,5.819948124583018689e+00,-1.356218079258748048e+03,-6.591740198170433359e+03,-2.537494639044933251e+02
2.841207389952921503e+01,3.254490010998344118e+00,5.823842478310299775e+00,-1.355591582110072750e+03,-6.591883978930755802e+03,-2.534096821525193093e+02
2.841191539360000462e+01,3.253711933035497328e+00,5.827736858837634593e+00,-1.354965069439386298e+03,-6.592027683154661645e+03,-2.530698970935474961e+02
2.841175675674135803e+01,3.252933502133817711e+00,5.831631265906101369e+00,-1.354338541253755920e+03,-6.592171310840573824e+03,-2.527301087320148554e+02
